$MeshFile
Vertex	X	YZ
822	-0.0384615	0.3153850
823	-0.0230769	0.3153850
824	-0.00769231	0.3153850
825	0.00769231	0.3153850
826	0.0230769	0.3153850
827	0.0384615	0.3153850
828	0.0538462	0.3153850
829	0.0692308	0.3153850
830	0.0846154	0.3153850
831	0.1	0.3153850
832	0.115385	0.3153850
833	0.130769	0.3153850
834	0.146154	0.3153850
835	0.161538	0.3153850
836	0.176923	0.3153850
837	0.192308	0.3153850
838	0.207692	0.3153850
839	0.223077	0.3153850
840	0.238462	0.3153850
841	0.253846	0.3153850
842	0.269231	0.3153850
843	0.284615	0.3153850
844	0.3	0.3153850
845	0.315385	0.3153850
846	0.330769	0.3153850
847	0.346154	0.3153850
848	0.361538	0.3153850
849	0.376923	0.3153850
850	0.392308	0.3153850
851	0.407692	0.3153850
852	0.423077	0.3153850
853	0.438462	0.3153850
854	0.453846	0.3153850
855	0.469231	0.3153850
856	0.484615	0.3153850
857	0.5	0.3153850
858	-0.5	0.30
859	-0.484615	0.30
860	-0.469231	0.30
861	-0.453846	0.30
862	-0.438462	0.30
863	-0.423077	0.30
864	-0.407692	0.30
865	-0.392308	0.30
866	-0.376923	0.30
867	-0.361538	0.30
868	-0.346154	0.30
869	-0.330769	0.30
870	-0.315385	0.30
871	-0.3	0.30
872	-0.284615	0.30
873	-0.269231	0.30
874	-0.253846	0.30
875	-0.238462	0.30
876	-0.223077	0.30
877	-0.207692	0.30
878	-0.192308	0.30
879	-0.176923	0.30
880	-0.161538	0.30
881	-0.146154	0.30
882	-0.130769	0.30
883	-0.115385	0.30
884	-0.1	0.30
885	-0.0846154	0.30
886	-0.0692308	0.30
887	-0.0538462	0.30
888	-0.0384615	0.30
889	-0.0230769	0.30
890	-0.00769231	0.30
891	0.00769231	0.30
892	0.0230769	0.30
893	0.0384615	0.30
894	0.0538462	0.30
895	0.0692308	0.30
896	0.0846154	0.30
897	0.1	0.30
898	0.115385	0.30
899	0.130769	0.30
900	0.146154	0.30
901	0.161538	0.30
902	0.176923	0.30
903	0.192308	0.30
904	0.207692	0.30
905	0.223077	0.30
906	0.238462	0.30
907	0.253846	0.30
908	0.269231	0.30
909	0.284615	0.30
910	0.3	0.30
911	0.315385	0.30
912	0.330769	0.30
913	0.346154	0.30
914	0.361538	0.30
915	0.376923	0.30
916	0.392308	0.30
917	0.407692	0.30
918	0.423077	0.30
919	0.438462	0.30
920	0.453846	0.30
921	0.469231	0.30
922	0.484615	0.30
923	0.5	0.30
924	-0.5	0.2846150
925	-0.484615	0.2846150
926	-0.469231	0.2846150
927	-0.453846	0.2846150
928	-0.438462	0.2846150
929	-0.423077	0.2846150
930	-0.407692	0.2846150
931	-0.392308	0.2846150
932	-0.376923	0.2846150
933	-0.361538	0.2846150
934	-0.346154	0.2846150
935	-0.330769	0.2846150
936	-0.315385	0.2846150
937	-0.3	0.2846150
938	-0.284615	0.2846150
939	-0.269231	0.2846150
940	-0.253846	0.2846150
941	-0.238462	0.2846150
942	-0.223077	0.2846150
943	-0.207692	0.2846150
944	-0.192308	0.2846150
945	-0.176923	0.2846150
946	-0.161538	0.2846150
947	-0.146154	0.2846150
948	-0.130769	0.2846150
949	-0.115385	0.2846150
950	-0.1	0.2846150
951	-0.0846154	0.2846150
952	-0.0692308	0.2846150
953	-0.0538462	0.2846150
954	-0.0384615	0.2846150
955	-0.0230769	0.2846150
956	-0.00769231	0.2846150
957	0.00769231	0.2846150
958	0.0230769	0.2846150
959	0.0384615	0.2846150
960	0.0538462	0.2846150
961	0.0692308	0.2846150
962	0.0846154	0.2846150
963	0.1	0.2846150
964	0.115385	0.2846150
965	0.130769	0.2846150
966	0.146154	0.2846150
967	0.161538	0.2846150
968	0.176923	0.2846150
969	0.192308	0.2846150
970	0.207692	0.2846150
971	0.223077	0.2846150
972	0.238462	0.2846150
973	0.253846	0.2846150
974	0.269231	0.2846150
975	0.284615	0.2846150
976	0.3	0.2846150
977	0.315385	0.2846150
978	0.330769	0.2846150
979	0.346154	0.2846150
980	0.361538	0.2846150
981	0.376923	0.2846150
982	0.392308	0.2846150
983	0.407692	0.2846150
984	0.423077	0.2846150
985	0.438462	0.2846150
986	0.453846	0.2846150
987	0.469231	0.2846150
988	0.484615	0.2846150
989	0.5	0.2846150
990	-0.5	0.2692310
991	-0.484615	0.2692310
992	-0.469231	0.2692310
993	-0.453846	0.2692310
994	-0.438462	0.2692310
995	-0.423077	0.2692310
996	-0.407692	0.2692310
997	-0.392308	0.2692310
998	-0.376923	0.2692310
999	-0.361538	0.2692310
1000	-0.346154	0.2692310
1001	-0.330769	0.2692310
1002	-0.315385	0.2692310
1003	-0.3	0.2692310
1004	-0.284615	0.2692310
1005	-0.269231	0.2692310
1006	-0.253846	0.2692310
1007	-0.238462	0.2692310
1008	-0.223077	0.2692310
1009	-0.207692	0.2692310
1010	-0.192308	0.2692310
1011	-0.176923	0.2692310
1012	-0.161538	0.2692310
1013	-0.146154	0.2692310
1014	-0.130769	0.2692310
1015	-0.115385	0.2692310
1016	-0.1	0.2692310
1017	-0.0846154	0.2692310
1018	-0.0692308	0.2692310
1019	-0.0538462	0.2692310
1020	-0.0384615	0.2692310
1021	-0.0230769	0.2692310
1022	-0.00769231	0.2692310
1023	0.00769231	0.2692310
1024	0.0230769	0.2692310
1025	0.0384615	0.2692310
1026	0.0538462	0.2692310
1027	0.0692308	0.2692310
1028	0.0846154	0.2692310
1029	0.1	0.2692310
1030	0.115385	0.2692310
1031	0.130769	0.2692310
1032	0.146154	0.2692310
1033	0.161538	0.2692310
1034	0.176923	0.2692310
1035	0.192308	0.2692310
1036	0.207692	0.2692310
1037	0.223077	0.2692310
1038	0.238462	0.2692310
