2RD Navier Stokes Equation Using Finite Volume Method
GRID Size:	 65 	 X 65 
Reynolds number of the simulation:100.000000
Iteration no:	112	 Ures: 	3.5628481521e-02	 Vres: 	1.7721734750e+00	 Pres: 	7.1059059092e-01	 
Iteration no:	113	 Ures: 	3.5491951671e-02	 Vres: 	1.7894317554e+00	 Pres: 	6.4443243222e-01	 
Iteration no:	114	 Ures: 	3.5372340401e-02	 Vres: 	1.8009790951e+00	 Pres: 	5.7780283664e-01	 
Iteration no:	115	 Ures: 	3.5256018389e-02	 Vres: 	1.8063966110e+00	 Pres: 	5.1266480820e-01	 
Iteration no:	116	 Ures: 	3.5130199627e-02	 Vres: 	1.8054911195e+00	 Pres: 	4.5149623881e-01	 
Iteration no:	117	 Ures: 	3.4983485728e-02	 Vres: 	1.7982751475e+00	 Pres: 	3.9748259872e-01	 
Iteration no:	118	 Ures: 	3.4806280597e-02	 Vres: 	1.7849477717e+00	 Pres: 	3.5458501459e-01	 
Iteration no:	119	 Ures: 	3.4591080155e-02	 Vres: 	1.7658764191e+00	 Pres: 	3.2705422685e-01	 
Iteration no:	120	 Ures: 	3.4332649040e-02	 Vres: 	1.7415794314e+00	 Pres: 	3.1790243964e-01	 
Iteration no:	121	 Ures: 	3.4028099178e-02	 Vres: 	1.7127089737e+00	 Pres: 	3.2698071556e-01	 
Iteration no:	122	 Ures: 	3.3676884909e-02	 Vres: 	1.6800336850e+00	 Pres: 	3.5074417962e-01	 
Iteration no:	123	 Ures: 	3.3280727275e-02	 Vres: 	1.6444203071e+00	 Pres: 	3.8413216621e-01	 
Iteration no:	124	 Ures: 	3.2843477007e-02	 Vres: 	1.6068133788e+00	 Pres: 	4.2247460035e-01	 
Iteration no:	125	 Ures: 	3.2370922499e-02	 Vres: 	1.5682119849e+00	 Pres: 	4.6221205706e-01	 
Iteration no:	126	 Ures: 	3.1870546128e-02	 Vres: 	1.5296425589e+00	 Pres: 	5.0083096941e-01	 
Iteration no:	127	 Ures: 	3.1351230136e-02	 Vres: 	1.4921269595e+00	 Pres: 	5.3659188246e-01	 
Iteration no:	128	 Ures: 	3.0822912418e-02	 Vres: 	1.4566455915e+00	 Pres: 	5.6829014421e-01	 
Iteration no:	129	 Ures: 	3.0296193270e-02	 Vres: 	1.4240963008e+00	 Pres: 	5.9509093147e-01	 
Iteration no:	130	 Ures: 	2.9781897034e-02	 Vres: 	1.3952511330e+00	 Pres: 	6.1642371809e-01	 
Iteration no:	131	 Ures: 	2.9290597658e-02	 Vres: 	1.3707145895e+00	 Pres: 	6.3191570081e-01	 
Iteration no:	132	 Ures: 	2.8832124419e-02	 Vres: 	1.3508882969e+00	 Pres: 	6.4134917872e-01	 
Iteration no:	133	 Ures: 	2.8415072452e-02	 Vres: 	1.3359474321e+00	 Pres: 	6.4463340418e-01	 
Iteration no:	134	 Ures: 	2.8046350625e-02	 Vres: 	1.3258333456e+00	 Pres: 	6.4178519285e-01	 
Iteration no:	135	 Ures: 	2.7730804356e-02	 Vres: 	1.3202645311e+00	 Pres: 	6.3291490342e-01	 
Iteration no:	136	 Ures: 	2.7470950684e-02	 Vres: 	1.3187649662e+00	 Pres: 	6.1821579295e-01	 
Iteration no:	137	 Ures: 	2.7266855751e-02	 Vres: 	1.3207058628e+00	 Pres: 	5.9795560654e-01	 
Iteration no:	138	 Ures: 	2.7116170942e-02	 Vres: 	1.3253549629e+00	 Pres: 	5.7246981279e-01	 
Iteration no:	139	 Ures: 	2.7014325692e-02	 Vres: 	1.3319271596e+00	 Pres: 	5.4215631064e-01	 
Iteration no:	140	 Ures: 	2.6954856241e-02	 Vres: 	1.3396312354e+00	 Pres: 	5.0747183118e-01	 
Iteration no:	141	 Ures: 	2.6929834800e-02	 Vres: 	1.3477092934e+00	 Pres: 	4.6893078348e-01	 
Iteration no:	142	 Ures: 	2.6930355561e-02	 Vres: 	1.3554673404e+00	 Pres: 	4.2710818214e-01	 
Iteration no:	143	 Ures: 	2.6947033755e-02	 Vres: 	1.3622969913e+00	 Pres: 	3.8265004865e-01	 
Iteration no:	144	 Ures: 	2.6970480068e-02	 Vres: 	1.3676892281e+00	 Pres: 	3.3629848195e-01	 
Iteration no:	145	 Ures: 	2.6991722748e-02	 Vres: 	1.3712415861e+00	 Pres: 	2.8894745299e-01	 
Iteration no:	146	 Ures: 	2.7002560715e-02	 Vres: 	1.3726602034e+00	 Pres: 	2.4176719014e-01	 
Iteration no:	147	 Ures: 	2.6995840815e-02	 Vres: 	1.3717580161e+00	 Pres: 	1.9648956315e-01	 
Iteration no:	148	 Ures: 	2.6965659767e-02	 Vres: 	1.3684501262e+00	 Pres: 	1.5606381277e-01	 
Iteration no:	149	 Ures: 	2.6907496107e-02	 Vres: 	1.3627471066e+00	 Pres: 	1.2589855069e-01	 
Iteration no:	150	 Ures: 	2.6818279734e-02	 Vres: 	1.3547467645e+00	 Pres: 	1.1407604118e-01	 
Iteration no:	151	 Ures: 	2.6696407224e-02	 Vres: 	1.3446246954e+00	 Pres: 	1.2468467782e-01	 
Iteration no:	152	 Ures: 	2.6541710481e-02	 Vres: 	1.3326238120e+00	 Pres: 	1.5150373731e-01	 
Iteration no:	153	 Ures: 	2.6355385046e-02	 Vres: 	1.3190429403e+00	 Pres: 	1.8593193458e-01	 
Iteration no:	154	 Ures: 	2.6139883047e-02	 Vres: 	1.3042245233e+00	 Pres: 	2.2271223590e-01	 
Iteration no:	155	 Ures: 	2.5898774510e-02	 Vres: 	1.2885414713e+00	 Pres: 	2.5913533956e-01	 
Iteration no:	156	 Ures: 	2.5636579857e-02	 Vres: 	1.2723832398e+00	 Pres: 	2.9372580341e-01	 
Iteration no:	157	 Ures: 	2.5358576040e-02	 Vres: 	1.2561413037e+00	 Pres: 	3.2559335266e-01	 
Iteration no:	158	 Ures: 	2.5070579012e-02	 Vres: 	1.2401943285e+00	 Pres: 	3.5415274201e-01	 
Iteration no:	159	 Ures: 	2.4778706160e-02	 Vres: 	1.2248934928e+00	 Pres: 	3.7899923267e-01	 
Iteration no:	160	 Ures: 	2.4489123998e-02	 Vres: 	1.2105485828e+00	 Pres: 	3.9984956819e-01	 
Iteration no:	161	 Ures: 	2.4207788596e-02	 Vres: 	1.1974156074e+00	 Pres: 	4.1651193857e-01	 
Iteration no:	162	 Ures: 	2.3940188787e-02	 Vres: 	1.1856867505e+00	 Pres: 	4.2886949838e-01	 
Iteration no:	163	 Ures: 	2.3691104548e-02	 Vres: 	1.1754834294e+00	 Pres: 	4.3687051380e-01	 
Iteration no:	164	 Ures: 	2.3464394605e-02	 Vres: 	1.1668530599e+00	 Pres: 	4.4052184911e-01	 
Iteration no:	165	 Ures: 	2.3262827643e-02	 Vres: 	1.1597698448e+00	 Pres: 	4.3988415326e-01	 
Iteration no:	166	 Ures: 	2.3087969928e-02	 Vres: 	1.1541395347e+00	 Pres: 	4.3506790420e-01	 
Iteration no:	167	 Ures: 	2.2940138623e-02	 Vres: 	1.1498077361e+00	 Pres: 	4.2622987824e-01	 
Iteration no:	168	 Ures: 	2.2818424865e-02	 Vres: 	1.1465710230e+00	 Pres: 	4.1356984004e-01	 
Iteration no:	169	 Ures: 	2.2720784417e-02	 Vres: 	1.1441898991e+00	 Pres: 	3.9732739258e-01	 
Iteration no:	170	 Ures: 	2.2644187658e-02	 Vres: 	1.1424025967e+00	 Pres: 	3.7777903953e-01	 
Iteration no:	171	 Ures: 	2.2584815686e-02	 Vres: 	1.1409387605e+00	 Pres: 	3.5523563258e-01	 
Iteration no:	172	 Ures: 	2.2538286249e-02	 Vres: 	1.1395322309e+00	 Pres: 	3.3004054885e-01	 
Iteration no:	173	 Ures: 	2.2499892450e-02	 Vres: 	1.1379323566e+00	 Pres: 	3.0256924343e-01	 
Iteration no:	174	 Ures: 	2.2464838355e-02	 Vres: 	1.1359134893e+00	 Pres: 	2.7323140852e-01	 
Iteration no:	175	 Ures: 	2.2428458346e-02	 Vres: 	1.1332825070e+00	 Pres: 	2.4247820917e-01	 
Iteration no:	176	 Ures: 	2.2386410545e-02	 Vres: 	1.1298843666e+00	 Pres: 	2.1081987039e-01	 
Iteration no:	177	 Ures: 	2.2334838190e-02	 Vres: 	1.1256057834e+00	 Pres: 	1.7886567188e-01	 
Iteration no:	178	 Ures: 	2.2270496020e-02	 Vres: 	1.1203771926e+00	 Pres: 	1.4741580911e-01	 
Iteration no:	179	 Ures: 	2.2190841239e-02	 Vres: 	1.1141731678e+00	 Pres: 	1.1768009139e-01	 
Iteration no:	180	 Ures: 	2.2094090358e-02	 Vres: 	1.1070114638e+00	 Pres: 	9.1798318633e-02	 
Iteration no:	181	 Ures: 	2.1979244272e-02	 Vres: 	1.0989508329e+00	 Pres: 	7.3796238295e-02	 
Iteration no:	182	 Ures: 	2.1846084441e-02	 Vres: 	1.0900877396e+00	 Pres: 	6.9200776675e-02	 
Iteration no:	183	 Ures: 	2.1695143159e-02	 Vres: 	1.0805520767e+00	 Pres: 	7.9075647187e-02	 
Iteration no:	184	 Ures: 	2.1527650813e-02	 Vres: 	1.0705019668e+00	 Pres: 	9.7792729119e-02	 
Iteration no:	185	 Ures: 	2.1345462857e-02	 Vres: 	1.0601177392e+00	 Pres: 	1.1995014433e-01	 
Iteration no:	186	 Ures: 	2.1150969109e-02	 Vres: 	1.0495951756e+00	 Pres: 	1.4267006611e-01	 
Iteration no:	187	 Ures: 	2.0946987977e-02	 Vres: 	1.0391381584e+00	 Pres: 	1.6452719754e-01	 
Iteration no:	188	 Ures: 	2.0736648363e-02	 Vres: 	1.0289508943e+00	 Pres: 	1.8474945304e-01	 
Iteration no:	189	 Ures: 	2.0523262387e-02	 Vres: 	1.0192299498e+00	 Pres: 	2.0287265529e-01	 
Iteration no:	190	 Ures: 	2.0310192603e-02	 Vres: 	1.0101563999e+00	 Pres: 	2.1859683908e-01	 
Iteration no:	191	 Ures: 	2.0100718017e-02	 Vres: 	1.0018884454e+00	 Pres: 	2.3172270943e-01	 
